state,year,deaths,births,death.rate,state.abb,Implemented
Utah,2009,284,53887,5.27,UT,2020
Utah,2010,254,52258,4.86,UT,2020
Utah,2011,281,51223,5.49,UT,2020
Utah,2012,248,51465,4.82,UT,2020
Utah,2013,264,50957,5.18,UT,2020
Utah,2014,251,51154,4.91,UT,2020
Utah,2015,255,50778,5.02,UT,2020
Utah,2016,274,50464,5.43,UT,2020
Utah,2017,286,48585,5.89,UT,2020
Utah,2018,259,47209,5.49,UT,2020
Utah,2019,247,46826,5.27,UT,2020
Utah,2020,248,45702,5.43,UT,2020
Utah,2021,214,46712,4.58,UT,2020
Utah,2022,230,45768,5.03,UT,2020
Vermont,2009,38,6110,6.22,VT,2014
Vermont,2010,26,6223,4.18,VT,2014
Vermont,2011,30,6078,4.94,VT,2014
Vermont,2012,26,6009,4.33,VT,2014
Vermont,2013,26,5975,4.35,VT,2014
Vermont,2014,28,6130,4.57,VT,2014
Vermont,2015,27,5903,4.57,VT,2014
Vermont,2016,20,5756,3.47,VT,2014
Vermont,2017,27,5655,4.77,VT,2014
Vermont,2018,35,5432,6.44,VT,2014
Vermont,2019,15,5361,2.8,VT,2014
Vermont,2020,18,5133,3.51,VT,2014
Vermont,2021,17,5384,3.16,VT,2014
Vermont,2022,26,5316,4.89,VT,2014
Virginia,2009,750,105059,7.14,VA,2019
Virginia,2010,703,103002,6.83,VA,2019
Virginia,2011,697,102652,6.79,VA,2019
Virginia,2012,668,103013,6.48,VA,2019
Virginia,2013,631,102147,6.18,VA,2019
Virginia,2014,584,103300,5.65,VA,2019
Virginia,2015,610,103303,5.9,VA,2019
Virginia,2016,599,102460,5.85,VA,2019
Virginia,2017,592,100391,5.9,VA,2019
Virginia,2018,560,99843,5.61,VA,2019
Virginia,2019,566,97429,5.81,VA,2019
Virginia,2020,546,94749,5.76,VA,2019
Virginia,2021,571,95825,5.96,VA,2019
Virginia,2022,594,95630,6.21,VA,2019
Washington,2009,439,89313,4.92,WA,2014
Washington,2010,388,86539,4.48,WA,2014
Washington,2011,396,86976,4.55,WA,2014
Washington,2012,460,87463,5.26,WA,2014
Washington,2013,392,86577,4.53,WA,2014
Washington,2014,397,88585,4.48,WA,2014
Washington,2015,434,88990,4.88,WA,2014
Washington,2016,391,90505,4.32,WA,2014
Washington,2017,340,87562,3.88,WA,2014
Washington,2018,404,86085,4.69,WA,2014
Washington,2019,362,84895,4.26,WA,2014
Washington,2020,375,83086,4.51,WA,2014
Washington,2021,366,83911,4.36,WA,2014
Washington,2022,362,83333,4.34,WA,2014
West Virginia,2009,163,21268,7.66,WV,2014
West Virginia,2010,150,20470,7.33,WV,2014
West Virginia,2011,136,20717,6.56,WV,2014
West Virginia,2012,149,20827,7.15,WV,2014
West Virginia,2013,159,20825,7.64,WV,2014
West Virginia,2014,141,20301,6.95,WV,2014
West Virginia,2015,141,19805,7.12,WV,2014
West Virginia,2016,138,19079,7.23,WV,2014
West Virginia,2017,130,18675,6.96,WV,2014
West Virginia,2018,127,18248,6.96,WV,2014
West Virginia,2019,111,18136,6.12,WV,2014
West Virginia,2020,127,17323,7.33,WV,2014
West Virginia,2021,117,17198,6.8,WV,2014
West Virginia,2022,124,16929,7.32,WV,2014
Wisconsin,2009,424,70843,5.99,WI,
Wisconsin,2010,400,68487,5.84,WI,
Wisconsin,2011,423,67810,6.24,WI,
Wisconsin,2012,382,67295,5.68,WI,
Wisconsin,2013,417,66649,6.26,WI,
Wisconsin,2014,384,67161,5.72,WI,
Wisconsin,2015,389,67041,5.8,WI,
Wisconsin,2016,420,66615,6.3,WI,
Wisconsin,2017,415,64975,6.39,WI,
Wisconsin,2018,392,64098,6.12,WI,
Wisconsin,2019,371,63270,5.86,WI,
Wisconsin,2020,360,60594,5.94,WI,
Wisconsin,2021,331,61781,5.36,WI,
Wisconsin,2022,348,60049,5.8,WI,
Wyoming,2009,47,7881,5.96,WY,
Wyoming,2010,52,7556,6.88,WY,
Wyoming,2011,49,7399,6.62,WY,
Wyoming,2012,42,7572,5.55,WY,
Wyoming,2013,37,7644,4.84,WY,
Wyoming,2014,49,7696,6.37,WY,
Wyoming,2015,38,7765,4.89,WY,
Wyoming,2016,37,7386,5.01,WY,
Wyoming,2017,32,6903,4.64,WY,
Wyoming,2018,35,6562,5.33,WY,
Wyoming,2019,47,6565,7.16,WY,
Wyoming,2020,32,6128,5.22,WY,
Wyoming,2021,34,6237,5.45,WY,
Wyoming,2022,34,6049,5.62,WY,
